response_id,question,response
65,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
66,What challenges did you face when accessing healthcare services in your area?,I did not face any major challenges.
67,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
68,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
69,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
70,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
71,What challenges did you face when accessing healthcare services in your area?,Machines were not working.
72,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
73,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
74,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
75,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
76,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
77,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
78,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
79,What challenges did you face when accessing healthcare services in your area?,I did not face any major challenges.
80,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
81,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
82,What challenges did you face when accessing healthcare services in your area?,I was told to buy medicine elsewhere.
83,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
84,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
85,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
86,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
87,What challenges did you face when accessing healthcare services in your area?,I did not face any major challenges.
88,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
89,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
90,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
91,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
92,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
93,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
94,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
95,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
96,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
97,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
98,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
99,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
100,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
101,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
102,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
103,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
104,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
105,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
106,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
107,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
108,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
109,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
110,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
111,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
112,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
113,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
114,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
115,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
116,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
117,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
118,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
119,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
120,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
121,What challenges did you face when accessing healthcare services in your area?,There is no reliable transport to the clinic.
122,What challenges did you face when accessing healthcare services in your area?,The pharmacy had empty shelves.
123,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
124,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
125,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
126,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
127,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
128,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
129,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
130,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
131,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
132,What challenges did you face when accessing healthcare services in your area?,There were no medicines available.
133,What challenges did you face when accessing healthcare services in your area?,I could not afford the treatment cost.
134,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
135,What challenges did you face when accessing healthcare services in your area?,I could not afford the treatment cost.
136,What challenges did you face when accessing healthcare services in your area?,There is no reliable transport to the clinic.
137,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
138,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
139,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
140,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
141,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
142,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
143,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
144,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
145,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
146,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
147,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
148,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
149,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
150,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
151,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
152,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
153,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
154,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
155,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
156,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
157,What challenges did you face when accessing healthcare services in your area?,I was told to buy medicine elsewhere.
158,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
159,What challenges did you face when accessing healthcare services in your area?,I was told to buy medicine elsewhere.
160,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
161,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
162,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
163,What challenges did you face when accessing healthcare services in your area?,Everything went smoothly.
164,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
165,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
166,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
167,What challenges did you face when accessing healthcare services in your area?,Machines were not working.
168,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
169,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
170,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
171,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
172,What challenges did you face when accessing healthcare services in your area?,I could not afford the treatment cost.
173,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
174,What challenges did you face when accessing healthcare services in your area?,The pharmacy had empty shelves.
175,What challenges did you face when accessing healthcare services in your area?,There were no medicines available.
176,What challenges did you face when accessing healthcare services in your area?,The doctor did not listen to me.
177,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
178,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
179,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
180,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
181,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
182,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
183,What challenges did you face when accessing healthcare services in your area?,There is no reliable transport to the clinic.
184,What challenges did you face when accessing healthcare services in your area?,I was told to buy medicine elsewhere.
185,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
186,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
187,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
188,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
189,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
190,What challenges did you face when accessing healthcare services in your area?,Everything went smoothly.
191,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
192,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
193,What challenges did you face when accessing healthcare services in your area?,The facility is too far away.
194,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
195,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
196,What challenges did you face when accessing healthcare services in your area?,Broken equipment delays treatment.
197,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
198,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
199,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
200,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
201,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
202,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
203,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
204,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
205,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
206,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
207,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
208,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
209,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
210,What challenges did you face when accessing healthcare services in your area?,There is no reliable transport to the clinic.
211,What challenges did you face when accessing healthcare services in your area?,Broken equipment delays treatment.
212,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
213,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
214,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
215,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
216,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
217,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
218,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
219,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
220,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
221,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
222,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
223,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
224,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
225,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
226,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
227,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
228,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
229,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
230,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
231,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
232,What challenges did you face when accessing healthcare services in your area?,There were no medicines available.
233,What challenges did you face when accessing healthcare services in your area?,The queue was too long at the clinic.
234,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
235,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
236,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
237,What challenges did you face when accessing healthcare services in your area?,The facility is too far away.
238,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
239,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
240,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
241,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
242,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
243,What challenges did you face when accessing healthcare services in your area?,I did not face any major challenges.
244,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
245,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
246,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
247,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
248,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
249,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
250,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
251,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
252,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
253,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
254,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
255,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
256,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
257,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
258,What challenges did you face when accessing healthcare services in your area?,I could not afford the treatment cost.
259,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
260,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
261,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
262,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
263,What challenges did you face when accessing healthcare services in your area?,Broken equipment delays treatment.
264,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
265,What challenges did you face when accessing healthcare services in your area?,The queue was too long at the clinic.
266,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
267,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
268,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
269,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
270,What challenges did you face when accessing healthcare services in your area?,Healthcare workers were disrespectful.
271,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
272,What challenges did you face when accessing healthcare services in your area?,The facility is too far away.
273,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
274,What challenges did you face when accessing healthcare services in your area?,Transport costs are too high.
275,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
276,What challenges did you face when accessing healthcare services in your area?,The facility is poorly equipped.
277,What challenges did you face when accessing healthcare services in your area?,The pharmacy had empty shelves.
278,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
279,What challenges did you face when accessing healthcare services in your area?,Service was very slow and disorganized.
280,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
281,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
282,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
283,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
284,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
285,What challenges did you face when accessing healthcare services in your area?,The facility is too far away.
286,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
287,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
288,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
289,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
290,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
291,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
292,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
293,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
294,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
295,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
296,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
297,What challenges did you face when accessing healthcare services in your area?,The pharmacy had empty shelves.
298,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
299,What challenges did you face when accessing healthcare services in your area?,The facility is too far away.
300,What challenges did you face when accessing healthcare services in your area?,The doctor did not listen to me.
